".model",".strategy_names","markov_cycle","state_names","count"
"standard","new",13,"PrimaryTHR",0
"standard","new",14,"PrimaryTHR",0
"standard","new",15,"PrimaryTHR",0
"standard","new",16,"PrimaryTHR",0
"standard","new",17,"PrimaryTHR",0
"standard","new",18,"PrimaryTHR",0
"standard","new",19,"PrimaryTHR",0
"standard","new",20,"PrimaryTHR",0
"standard","new",21,"PrimaryTHR",0
"standard","new",22,"PrimaryTHR",0
"standard","new",23,"PrimaryTHR",0
"standard","new",24,"PrimaryTHR",0
"standard","new",25,"PrimaryTHR",0
"standard","new",26,"PrimaryTHR",0
"standard","new",27,"PrimaryTHR",0
"standard","new",28,"PrimaryTHR",0
"standard","new",29,"PrimaryTHR",0
"standard","new",30,"PrimaryTHR",0
"standard","new",31,"PrimaryTHR",0
"standard","new",32,"PrimaryTHR",0
"standard","new",33,"PrimaryTHR",0
"standard","new",34,"PrimaryTHR",0
"standard","new",35,"PrimaryTHR",0
"standard","new",36,"PrimaryTHR",0
"standard","new",37,"PrimaryTHR",0
"standard","new",38,"PrimaryTHR",0
"standard","new",39,"PrimaryTHR",0
"standard","new",40,"PrimaryTHR",0
"standard","new",41,"PrimaryTHR",0
"standard","new",42,"PrimaryTHR",0
"standard","new",43,"PrimaryTHR",0
"standard","new",44,"PrimaryTHR",0
"standard","new",45,"PrimaryTHR",0
"standard","new",46,"PrimaryTHR",0
"standard","new",47,"PrimaryTHR",0
"standard","new",48,"PrimaryTHR",0
"standard","new",49,"PrimaryTHR",0
"standard","new",50,"PrimaryTHR",0
"standard","standard",1,"SuccessfulPrimary",0
"standard","standard",2,"SuccessfulPrimary",980
"standard","standard",3,"SuccessfulPrimary",972.657197726366
"standard","standard",4,"SuccessfulPrimary",965.165480497263
"standard","standard",5,"SuccessfulPrimary",957.571094311598
"standard","standard",6,"SuccessfulPrimary",937.835606916175
"standard","standard",7,"SuccessfulPrimary",918.389630317012
"standard","standard",8,"SuccessfulPrimary",899.24304719381
"standard","standard",9,"SuccessfulPrimary",880.402247945622
"standard","standard",10,"SuccessfulPrimary",861.871240408303
"standard","standard",11,"SuccessfulPrimary",843.652318951164
"standard","standard",12,"SuccessfulPrimary",825.746497590242
"standard","standard",13,"SuccessfulPrimary",808.15380581017
"standard","standard",14,"SuccessfulPrimary",790.873499293952
"standard","standard",15,"SuccessfulPrimary",773.904215201819
"standard","standard",16,"SuccessfulPrimary",730.776565650739
"standard","standard",17,"SuccessfulPrimary",690.002352565081
"standard","standard",18,"SuccessfulPrimary",651.457638440236
"standard","standard",19,"SuccessfulPrimary",615.024517681324
"standard","standard",20,"SuccessfulPrimary",580.590894151144
"standard","standard",21,"SuccessfulPrimary",548.050253186749
"standard","standard",22,"SuccessfulPrimary",517.301431968315
"standard","standard",23,"SuccessfulPrimary",488.24839103203
"standard","standard",24,"SuccessfulPrimary",460.799988938094
"standard","standard",25,"SuccessfulPrimary",434.869761537633
"standard","standard",26,"SuccessfulPrimary",366.323400020702
"standard","standard",27,"SuccessfulPrimary",308.562733043762
"standard","standard",28,"SuccessfulPrimary",259.893973093946
"standard","standard",29,"SuccessfulPrimary",218.888729749581
"standard","standard",30,"SuccessfulPrimary",184.342533872703
"standard","standard",31,"SuccessfulPrimary",155.239823106299
"standard","standard",32,"SuccessfulPrimary",130.724386088768
