"cost","qaly",".n_indiv","lngamma","agecoef","rr",".strategy_names",".index",".cost",".effect"
152769.922480897,14670.7389273253,1000,0.269869163232096,-0.0407142434684867,0.152,"standard",1,152769.922480897,14670.7389273253
162969.897623841,14668.6667611048,1000,0.270208141181733,-0.0396460932300311,0.12,"standard",2,162969.897623841,14668.6667611048
153724.333000202,14670.5514881798,1000,0.270712590576408,-0.0406682295936383,0.126,"standard",3,153724.333000202,14670.5514881798
171799.020827185,14666.8688796461,1000,0.27006378606093,-0.0387438911081084,0.116,"standard",4,171799.020827185,14666.8688796461
163772.839244379,14668.4977027711,1000,0.269533536394763,-0.0395157259545246,0.144,"standard",5,163772.839244379,14668.4977027711
155415.864423611,14670.1979593452,1000,0.269523581793323,-0.0404000117786021,0.12,"standard",6,155415.864423611,14670.1979593452
156505.276032223,14669.9902054531,1000,0.271242293288855,-0.0404025850114138,0.096,"standard",7,156505.276032223,14669.9902054531
154526.808150792,14670.3707282944,1000,0.268507613437608,-0.0404257362130211,0.148,"standard",8,154526.808150792,14670.3707282944
147214.466527119,14671.8640410072,1000,0.269246318306369,-0.0412959645693112,0.116,"standard",9,147214.466527119,14671.8640410072
163368.31795758,14668.5815119792,1000,0.269710761824103,-0.0395699491834214,0.134,"standard",10,163368.31795758,14668.5815119792
23480.1893030622,14696.9748566123,1000,0.269869163232096,-0.0407142434684867,0.152,"new",1,23480.1893030622,14696.9748566123
19798.3614032549,14697.7205603912,1000,0.270208141181733,-0.0396460932300311,0.12,"new",2,19798.3614032549,14697.7205603912
19593.6374168274,14697.7625111746,1000,0.270712590576408,-0.0406682295936383,0.126,"new",3,19593.6374168274,14697.7625111746
20190.0138686193,14697.6411339661,1000,0.27006378606093,-0.0387438911081084,0.116,"new",4,20190.0138686193,14697.6411339661
23868.3722512402,14696.8958513069,1000,0.269533536394763,-0.0395157259545246,0.144,"new",5,23868.3722512402,14696.8958513069
18869.7363389943,14697.9078515658,1000,0.269523581793323,-0.0404000117786021,0.12,"new",6,18869.7363389943,14697.9078515658
15207.9367919698,14698.6504529309,1000,0.271242293288855,-0.0404025850114138,0.096,"new",7,15207.9367919698,14698.6504529309
23129.2391942879,14697.044276098,1000,0.268507613437608,-0.0404257362130211,0.148,"new",8,23129.2391942879,14697.044276098
17268.2501235648,14698.231798725,1000,0.269246318306369,-0.0412959645693112,0.116,"new",9,17268.2501235648,14698.231798725
22158.4607888633,14697.2422589887,1000,0.269710761824103,-0.0395699491834214,0.134,"new",10,22158.4607888633,14697.2422589887
